=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/pathDisjoint_1000_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 647190228.579261
||xbar||_A = 31928.356634
i=470, err2=4.74406e-05, errA = 0.00133878
i=471, err2=7.77141e-05, errA = 0.00133018
i=472, err2=2.56613e-05, errA = 0.00132781
i=473, err2=2.14436e-05, errA = 0.00132733
i=474, err2=2.12755e-05, errA = 0.00132701
i=475, err2=9.48e-05, errA = 0.00132226
i=476, err2=4.52728e-05, errA = 0.00131403
i=477, err2=6.77008e-05, errA = 0.00131053
i=478, err2=2.69879e-05, errA = 0.00130896
i=479, err2=5.36745e-05, errA = 0.00130705
i=480, err2=4.35018e-05, errA = 0.00130516
i=481, err2=5.03389e-05, errA = 0.00130229
i=482, err2=2.26981e-05, errA = 0.00130086
i=483, err2=5.26963e-05, errA = 0.00130001
i=484, err2=2.01978e-05, errA = 0.00129545
i=485, err2=1.21235e-05, errA = 0.00129492
i=486, err2=1.81116e-05, errA = 0.00129478
i=487, err2=2.52329e-05, errA = 0.00129334
i=488, err2=2.35364e-05, errA = 0.0012926
i=489, err2=1.52034e-05, errA = 0.00129199
i=490, err2=5.30737e-05, errA = 0.00129087
i=491, err2=4.91367e-05, errA = 0.00128872
i=492, err2=5.51989e-05, errA = 0.00128687
i=493, err2=0.000123494, errA = 0.00127393
i=494, err2=7.18786e-05, errA = 0.00126477
i=495, err2=3.7349e-05, errA = 0.00126243
i=496, err2=3.47182e-05, errA = 0.00126095
i=497, err2=4.8518e-05, errA = 0.00125916
i=498, err2=2.23873e-05, errA = 0.00125762
i=499, err2=2.36671e-05, errA = 0.00125692
i=500, err2=1.98272e-05, errA = 0.00125666
i=501, err2=1.93368e-05, errA = 0.00125623
i=502, err2=3.70281e-05, errA = 0.00125458
i=503, err2=5.74537e-05, errA = 0.00125142
i=504, err2=1.80267e-05, errA = 0.00124713
i=505, err2=2.6444e-05, errA = 0.00124667
i=506, err2=2.28335e-05, errA = 0.00124629
i=507, err2=2.79094e-05, errA = 0.00124522
i=508, err2=3.23455e-05, errA = 0.00124337
i=509, err2=1.57555e-05, errA = 0.00124301
i=510, err2=2.0341e-05, errA = 0.00124264
i=511, err2=4.06592e-05, errA = 0.00124179
i=512, err2=2.9387e-05, errA = 0.00124034
i=513, err2=3.25407e-05, errA = 0.00123911
i=514, err2=6.91541e-05, errA = 0.00123602
i=515, err2=1.99568e-05, errA = 0.00123228
i=516, err2=2.50908e-05, errA = 0.00123162
i=517, err2=2.99359e-05, errA = 0.00123022
i=518, err2=5.58176e-05, errA = 0.00122905
i=519, err2=6.85521e-05, errA = 0.0012242
i=520, err2=4.8216e-05, errA = 0.00122177
i=521, err2=7.09633e-05, errA = 0.00121815
i=522, err2=1.67553e-05, errA = 0.00121475
i=523, err2=3.1607e-05, errA = 0.00121402
i=524, err2=2.05194e-05, errA = 0.00121338
i=525, err2=2.60856e-05, errA = 0.00121259
i=526, err2=1.48665e-05, errA = 0.00121231
i=527, err2=1.25953e-05, errA = 0.00121215
i=528, err2=2.33382e-05, errA = 0.00121192
i=529, err2=1.32341e-05, errA = 0.00121126
i=530, err2=1.51353e-05, errA = 0.00121109
i=531, err2=3.70296e-05, errA = 0.0012097
i=532, err2=1.82165e-05, errA = 0.00120704
i=533, err2=8.40791e-05, errA = 0.00120385
i=534, err2=4.20157e-05, errA = 0.00120002
i=535, err2=3.41039e-05, errA = 0.00119809
i=536, err2=3.41091e-05, errA = 0.00119722
i=537, err2=6.78695e-05, errA = 0.00119143
i=538, err2=3.48282e-05, errA = 0.00118897
i=539, err2=9.67607e-05, errA = 0.00118589
i=540, err2=2.68153e-05, errA = 0.0011707
i=541, err2=2.82184e-05, errA = 0.00116926
i=542, err2=1.96645e-05, errA = 0.00116838
i=543, err2=1.12191e-05, errA = 0.00116795
i=544, err2=3.88328e-05, errA = 0.0011673
i=545, err2=3.06932e-05, errA = 0.00116625
i=546, err2=4.05961e-05, errA = 0.0011649
i=547, err2=3.29523e-05, errA = 0.00115973
i=548, err2=2.36699e-05, errA = 0.00115923
i=549, err2=2.66338e-05, errA = 0.00115768
i=550, err2=3.94885e-05, errA = 0.00115707
i=551, err2=4.9746e-05, errA = 0.00115419
