=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/pathDisjoint_30_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 10038889.327132
||xbar||_A = 1870.562683
i=  1, err2=0.162317, errA = 0.42331
i=315, err2=1.38117e-15, errA = 3.49958e-11
i=316, err2=5.64954e-15, errA = 3.49939e-11
i=317, err2=1.56668e-15, errA = 3.49971e-11
i=318, err2=1.87662e-15, errA = 3.49985e-11
i=319, err2=1.56675e-15, errA = 3.49987e-11
i=320, err2=2.43013e-15, errA = 3.50012e-11
i=321, err2=2.58674e-15, errA = 3.49998e-11
i=322, err2=2.86127e-15, errA = 3.50006e-11
i=323, err2=1.49167e-15, errA = 3.49986e-11
i=324, err2=1.4404e-15, errA = 3.49963e-11
i=325, err2=9.21995e-16, errA = 3.49965e-11
i=326, err2=9.33333e-16, errA = 3.49963e-11
i=327, err2=1.39464e-15, errA = 3.49961e-11
i=328, err2=2.09493e-15, errA = 3.49962e-11
i=329, err2=2.14725e-15, errA = 3.49971e-11
i=330, err2=1.74678e-15, errA = 3.49981e-11
i=331, err2=1.79875e-15, errA = 3.49989e-11
i=332, err2=2.80379e-15, errA = 3.49997e-11
i=333, err2=3.90249e-15, errA = 3.49994e-11
i=334, err2=2.42525e-15, errA = 3.49975e-11
i=335, err2=1.53438e-15, errA = 3.49963e-11
i=336, err2=1.46308e-15, errA = 3.49955e-11
i=337, err2=1.84429e-15, errA = 3.49945e-11
i=338, err2=2.15324e-15, errA = 3.49933e-11
i=339, err2=1.86221e-15, errA = 3.49926e-11
i=340, err2=1.4008e-15, errA = 3.49925e-11
i=341, err2=1.33789e-15, errA = 3.49927e-11
i=342, err2=2.02795e-15, errA = 3.49931e-11
i=343, err2=4.04691e-15, errA = 3.49938e-11
i=344, err2=2.91578e-15, errA = 3.49925e-11
i=345, err2=1.75965e-15, errA = 3.49915e-11
i=346, err2=1.81406e-15, errA = 3.49911e-11
i=347, err2=2.38545e-15, errA = 3.49913e-11
i=348, err2=2.25584e-15, errA = 3.49925e-11
i=349, err2=1.51958e-15, errA = 3.49938e-11
i=350, err2=1.28642e-15, errA = 3.49946e-11
i=351, err2=1.98664e-15, errA = 3.49955e-11
i=352, err2=3.92174e-15, errA = 3.49979e-11
i=353, err2=2.20652e-15, errA = 3.49974e-11
i=354, err2=1.91891e-15, errA = 3.49963e-11
i=355, err2=2.82345e-15, errA = 3.49947e-11
i=356, err2=2.53349e-15, errA = 3.49934e-11
i=357, err2=1.50439e-15, errA = 3.49937e-11
i=358, err2=1.71036e-15, errA = 3.49943e-11
i=359, err2=5.52419e-15, errA = 3.49975e-11
i=360, err2=2.05878e-15, errA = 3.49969e-11
i=361, err2=1.79155e-15, errA = 3.4996e-11
i=362, err2=4.40674e-15, errA = 3.49947e-11
i=363, err2=9.57169e-15, errA = 3.49949e-11
i=364, err2=6.97185e-15, errA = 3.50008e-11
i=365, err2=4.97623e-15, errA = 3.50044e-11
i=366, err2=7.77008e-15, errA = 3.50061e-11
i=367, err2=6.88478e-15, errA = 3.5001e-11
i=368, err2=2.74466e-15, errA = 3.4997e-11
i=369, err2=2.18702e-15, errA = 3.49955e-11
i=370, err2=4.07298e-15, errA = 3.49934e-11
i=371, err2=9.15988e-15, errA = 3.49883e-11
i=372, err2=1.21764e-14, errA = 3.49808e-11
i=373, err2=8.3277e-15, errA = 3.49794e-11
i=374, err2=6.66841e-15, errA = 3.49816e-11
i=375, err2=9.28275e-15, errA = 3.49855e-11
i=376, err2=1.11873e-14, errA = 3.49902e-11
i=377, err2=6.05446e-15, errA = 3.499e-11
i=378, err2=2.98627e-15, errA = 3.49886e-11
i=379, err2=2.49424e-15, errA = 3.49877e-11
i=380, err2=3.81561e-15, errA = 3.49869e-11
i=381, err2=6.991e-15, errA = 3.49865e-11
i=382, err2=9.6987e-15, errA = 3.49889e-11
i=383, err2=8.5226e-15, errA = 3.49941e-11
i=384, err2=6.82744e-15, errA = 3.49986e-11
i=385, err2=7.79511e-15, errA = 3.50021e-11
i=386, err2=1.23487e-14, errA = 3.50058e-11
i=387, err2=1.6512e-14, errA = 3.50071e-11
i=388, err2=1.19062e-14, errA = 3.50026e-11
i=389, err2=6.14295e-15, errA = 3.49983e-11
i=390, err2=3.58524e-15, errA = 3.49961e-11
i=391, err2=3.05389e-15, errA = 3.49945e-11
i=392, err2=3.74781e-15, errA = 3.49927e-11
i=393, err2=4.87556e-15, errA = 3.49903e-11
i=394, err2=4.80126e-15, errA = 3.49883e-11
i=395, err2=3.60758e-15, errA = 3.49878e-11
i=396, err2=2.92831e-15, errA = 3.49882e-11
i=397, err2=3.4683e-15, errA = 3.49891e-11
i=398, err2=6.03029e-15, errA = 3.49908e-11
i=399, err2=1.11422e-14, errA = 3.49938e-11
i=400, err2=1.20901e-14, errA = 3.49953e-11
i=401, err2=7.01599e-15, errA = 3.49934e-11
i=402, err2=3.93878e-15, errA = 3.49918e-11
i=403, err2=3.1784e-15, errA = 3.4991e-11
i=404, err2=3.72526e-15, errA = 3.49908e-11
i=405, err2=4.4202e-15, errA = 3.49918e-11
i=406, err2=3.69217e-15, errA = 3.49941e-11
i=407, err2=2.30461e-15, errA = 3.4996e-11
i=408, err2=1.58702e-15, errA = 3.49972e-11
i=409, err2=1.81431e-15, errA = 3.49981e-11
i=410, err2=3.64405e-15, errA = 3.49997e-11
i=411, err2=8.62322e-15, errA = 3.50039e-11
i=412, err2=9.32366e-15, errA = 3.50074e-11
i=413, err2=5.84695e-15, errA = 3.50053e-11
i=414, err2=6.21173e-15, errA = 3.5002e-11
i=415, err2=9.41453e-15, errA = 3.49965e-11
i=416, err2=7.75647e-15, errA = 3.49923e-11
i=417, err2=3.49789e-15, errA = 3.49929e-11
i=418, err2=2.16756e-15, errA = 3.49939e-11
i=419, err2=3.73161e-15, errA = 3.49952e-11
i=420, err2=1.04001e-14, errA = 3.49971e-11
i=421, err2=8.1427e-15, errA = 3.49918e-11
i=422, err2=4.63536e-15, errA = 3.49882e-11
i=423, err2=6.18922e-15, errA = 3.4987e-11
i=424, err2=6.59822e-15, errA = 3.49909e-11
i=425, err2=2.83037e-15, errA = 3.49954e-11
i=426, err2=2.06507e-15, errA = 3.49972e-11
i=427, err2=5.34938e-15, errA = 3.49999e-11
i=428, err2=7.26805e-15, errA = 3.50028e-11
i=429, err2=2.38863e-15, errA = 3.49998e-11
i=430, err2=2.41989e-15, errA = 3.49982e-11
i=431, err2=4.90523e-15, errA = 3.49949e-11
i=432, err2=4.55131e-15, errA = 3.49921e-11
i=433, err2=3.38946e-15, errA = 3.4993e-11
i=434, err2=6.17405e-15, errA = 3.49958e-11
i=435, err2=7.99786e-15, errA = 3.50004e-11
i=436, err2=2.59295e-15, errA = 3.49986e-11
i=437, err2=1.54865e-15, errA = 3.49978e-11
i=438, err2=1.76872e-15, errA = 3.49973e-11
i=439, err2=3.06334e-15, errA = 3.49968e-11
i=440, err2=4.7517e-15, errA = 3.49969e-11
i=441, err2=4.45825e-15, errA = 3.49986e-11
