,,,,||xbar||_A,1870.562683,,,,,,,,,,
Julia_default,Julia_64,Julia_128,Julia_1024,Matlab_default,Matlab_1024,,Matlab_default_absolute^2,Matlab_1024_absolute^2,,Julia_default,Julia_64,Julia_128,Julia_1024,Matlab_default,Matlab_1024
6.98E-12,1.07E-12,1.07E-12,9.96E+137,3.49594E-11,3.49545E-11,,4.28E-15,4.28E-15,,,,,,,
6.98E-12,1.07E-12,1.07E-12,3.66E+137,3.49758E-11,3.49322E-11,,4.28E-15,4.27E-15,,,,,,,
6.98E-12,1.07E-12,1.07E-12,3.64E+137,3.49824E-11,3.49471E-11,,4.28E-15,4.27E-15,,,,,,,
6.99E-12,1.07E-12,1.07E-12,4.13E+137,3.49934E-11,3.49611E-11,,4.28E-15,4.28E-15,,,,,,,
6.99E-12,1.07E-12,1.07E-12,3.48E+137,3.49893E-11,3.49669E-11,,4.28E-15,4.28E-15,,,,,,,
6.99E-12,1.07E-12,1.07E-12,1.42E+138,3.50175E-11,3.49442E-11,,4.29E-15,4.27E-15,,,,,,,
7.20E-12,1.07E-12,1.07E-12,9.37E+137,3.50064E-11,3.49504E-11,,4.29E-15,4.27E-15,,,,,,,
7.21E-12,1.07E-12,1.07E-12,8.82E+137,3.50096E-11,3.49658E-11,,4.29E-15,4.28E-15,,,,,,,
7.27E-12,1.07E-12,1.07E-12,8.27E+137,3.50025E-11,3.49674E-11,,4.29E-15,4.28E-15,,,,,,,
8.89E-12,1.07E-12,1.07E-12,9.55E+137,3.4995E-11,3.49629E-11,,4.29E-15,4.28E-15,,,,,,,
8.90E-12,1.07E-12,1.07E-12,8.51E+137,3.49679E-11,3.49675E-11,,4.28E-15,4.28E-15,,,,,,,
9.12E-12,1.07E-12,1.07E-12,9.38E+137,3.50315E-11,3.49689E-11,,4.29E-15,4.28E-15,,,,,,,
1.35E-11,1.07E-12,1.07E-12,9.37E+137,3.50211E-11,3.49695E-11,,4.29E-15,4.28E-15,,,,,,,
1.36E-11,1.07E-12,1.07E-12,4.71E+137,3.50491E-11,3.49692E-11,,4.30E-15,4.28E-15,,,,,,,
1.37E-11,1.07E-12,1.07E-12,3.64E+137,3.50511E-11,3.49679E-11,,4.30E-15,4.28E-15,,,,,,,
2.03E-11,1.07E-12,1.07E-12,6.98E+137,3.50114E-11,3.49684E-11,,4.29E-15,4.28E-15,,,,,,,
2.04E-11,1.07E-12,1.07E-12,9.10E+137,3.49823E-11,3.49675E-11,,4.28E-15,4.28E-15,,,,,,,
2.28E-11,1.07E-12,1.07E-12,1.16E+138,3.4989E-11,3.49679E-11,,4.28E-15,4.28E-15,,,,,,,
5.25E-11,1.07E-12,1.07E-12,6.42E+137,3.49976E-11,3.49667E-11,,4.29E-15,4.28E-15,,,,,,,
5.25E-11,1.07E-12,1.07E-12,1.30E+138,3.50051E-11,3.49674E-11,,4.29E-15,4.28E-15,,,,,,,
5.32E-11,1.07E-12,1.07E-12,6.56E+137,3.50012E-11,3.49671E-11,,4.29E-15,4.28E-15,,,,,,,
5.43E-11,1.07E-12,1.07E-12,1.14E+138,3.49937E-11,3.49684E-11,,4.28E-15,4.28E-15,,,,,,,
5.43E-11,1.07E-12,1.07E-12,4.53E+137,3.49916E-11,3.49679E-11,,4.28E-15,4.28E-15,,,,,,,
5.44E-11,1.07E-12,1.07E-12,1.23E+138,3.49876E-11,3.49669E-11,,4.28E-15,4.28E-15,,,,,,,
5.45E-11,1.07E-12,1.07E-12,1.05E+138,3.4982E-11,3.49673E-11,,4.28E-15,4.28E-15,,,,,,,
5.45E-11,1.07E-12,1.07E-12,1.27E+138,3.49855E-11,3.49665E-11,,4.28E-15,4.28E-15,,,,,,,
5.58E-11,1.07E-12,1.08E-12,8.33E+137,3.49937E-11,3.49676E-11,,4.28E-15,4.28E-15,,,,,,,
5.83E-11,1.07E-12,1.08E-12,7.19E+137,3.49937E-11,3.49672E-11,,4.28E-15,4.28E-15,,,,,,,
5.98E-11,1.07E-12,1.08E-12,1.53E+138,3.49929E-11,3.49678E-11,,4.28E-15,4.28E-15,,,,,,,
1.41E-10,1.07E-12,1.17E-12,1.09E+138,3.49919E-11,3.49689E-11,,4.28E-15,4.28E-15,,,,,,,
1.02E-09,1.07E-12,1.17E-12,8.30E+137,3.4996E-11,3.49702E-11,,4.29E-15,4.28E-15,,,,,,,
1.03E-09,1.07E-12,1.25E-12,1.14E+138,3.50053E-11,3.49698E-11,,4.29E-15,4.28E-15,,,,,,,
1.04E-09,1.07E-12,1.25E-12,1.20E+138,3.50115E-11,3.49692E-11,,4.29E-15,4.28E-15,,,,,,,
1.11E-09,1.07E-12,1.26E-12,1.15E+138,3.50198E-11,3.49684E-11,,4.29E-15,4.28E-15,,,,,,,
1.11E-09,1.07E-12,1.28E-12,1.58E+138,3.50158E-11,3.49687E-11,,4.29E-15,4.28E-15,,,,,,,
1.14E-09,1.07E-12,1.29E-12,4.24E+137,3.50102E-11,3.49692E-11,,4.29E-15,4.28E-15,,,,,,,
1.22E-09,1.07E-12,1.29E-12,6.00E+137,3.50076E-11,3.4969E-11,,4.29E-15,4.28E-15,,,,,,,
1.26E-09,1.07E-12,1.67E-12,5.71E+137,3.50039E-11,3.4969E-11,,4.29E-15,4.28E-15,,,,,,,
2.44E-09,1.07E-12,2.01E-12,5.81E+137,3.50002E-11,3.49694E-11,,4.29E-15,4.28E-15,,,,,,,
3.52E-09,1.07E-12,2.01E-12,9.75E+137,3.50002E-11,3.49699E-11,,4.29E-15,4.28E-15,,,,,,,
3.68E-09,1.07E-12,2.02E-12,1.06E+138,3.50015E-11,3.49702E-11,,4.29E-15,4.28E-15,,,,,,,
8.17E-09,1.07E-12,2.02E-12,6.06E+137,3.50046E-11,3.49703E-11,,4.29E-15,4.28E-15,,,,,,,
1.37E-08,1.07E-12,2.02E-12,1.44E+138,3.49966E-11,3.49696E-11,,4.29E-15,4.28E-15,,,,,,,
1.37E-08,1.07E-12,2.02E-12,7.73E+137,3.49828E-11,3.4969E-11,,4.28E-15,4.28E-15,,,,,,,
1.47E-08,1.07E-12,2.03E-12,4.22E+137,3.49786E-11,3.49684E-11,,4.28E-15,4.28E-15,,,,,,,
1.46E-08,1.07E-12,2.03E-12,1.58E+138,3.49786E-11,3.49683E-11,,4.28E-15,4.28E-15,,,,,,,
1.47E-08,1.07E-12,2.06E-12,1.17E+138,3.49871E-11,3.49685E-11,,4.28E-15,4.28E-15,,,,,,,
