=========CG using MATLAB default precision=====
====DATA = ../graphs/se_1/
====error given as ||Ax - b||_2^2 and ||x - xbar||_A^2
i=375, err2=8.60761e+08, errA = 2658.47
i=376, err2=1.52786e+09, errA = 2652.13
i=377, err2=3.86312e+09, errA = 2638.45
i=378, err2=2.73396e+08, errA = 2544.3
i=379, err2=2.90562e+08, errA = 2542.51
i=380, err2=1.8084e+09, errA = 2538.1
i=381, err2=3.69188e+09, errA = 2525.28
i=382, err2=1.78977e+09, errA = 2506.77
i=383, err2=1.21328e+09, errA = 2496.13
i=384, err2=7.51475e+08, errA = 2488.4
i=385, err2=6.80013e+08, errA = 2483.67
i=386, err2=7.32573e+08, errA = 2479.42
i=387, err2=1.98006e+09, errA = 2467.18
i=388, err2=1.90227e+09, errA = 2458.65
i=389, err2=7.62096e+08, errA = 2452.94
i=390, err2=6.45113e+08, errA = 2443.99
i=391, err2=5.6821e+08, errA = 2440.31
i=392, err2=8.40711e+08, errA = 2436.82
i=393, err2=5.51027e+08, errA = 2433.89
i=394, err2=1.09154e+09, errA = 2427.86
i=395, err2=3.1228e+08, errA = 2422.21
i=396, err2=2.70297e+08, errA = 2421.11
i=397, err2=1.40537e+09, errA = 2415.92
i=398, err2=2.01953e+09, errA = 2391.27
i=399, err2=1.70642e+09, errA = 2384.53
i=400, err2=3.58125e+08, errA = 2376.29
i=401, err2=3.37372e+08, errA = 2371.88
i=402, err2=3.66718e+08, errA = 2370.12
i=403, err2=1.8814e+08, errA = 2368.65
i=404, err2=1.26574e+08, errA = 2367.73
i=405, err2=2.4478e+09, errA = 2357.34
i=406, err2=5.02893e+08, errA = 2349.59
i=407, err2=2.83372e+08, errA = 2347.03
i=408, err2=5.08143e+08, errA = 2341.15
i=409, err2=1.40457e+09, errA = 2334.25
i=410, err2=6.05257e+08, errA = 2329.29
i=411, err2=2.59618e+09, errA = 2323.28
i=412, err2=3.01107e+09, errA = 2306.73
i=413, err2=2.76656e+09, errA = 2288.11
i=414, err2=7.18537e+08, errA = 2275.74
i=415, err2=8.96125e+07, errA = 2271.08
i=416, err2=6.96889e+08, errA = 2268.41
i=417, err2=1.92882e+08, errA = 2266.75
i=418, err2=3.44606e+08, errA = 2264.06
i=419, err2=6.5826e+08, errA = 2262.06
i=420, err2=5.37404e+08, errA = 2240.37
i=421, err2=1.11737e+09, errA = 2237.74
i=422, err2=2.39049e+08, errA = 2230.71
i=423, err2=1.56902e+08, errA = 2226.3
i=424, err2=2.22716e+09, errA = 2219.66
i=425, err2=5.82536e+08, errA = 2212.67
i=426, err2=1.59828e+09, errA = 2202.37
i=427, err2=7.21955e+08, errA = 2195.42
i=428, err2=1.00201e+09, errA = 2180.18
i=429, err2=8.57648e+08, errA = 2176.22
i=430, err2=2.48947e+09, errA = 2163.71
i=431, err2=2.61763e+09, errA = 2152.06
i=432, err2=8.80801e+08, errA = 2137.45
i=433, err2=4.27836e+09, errA = 2120.88
i=434, err2=8.11363e+08, errA = 2105.34
i=435, err2=4.95024e+08, errA = 2102.3
i=436, err2=1.14071e+09, errA = 2094.07
i=437, err2=5.34993e+08, errA = 2087.73
i=438, err2=6.57488e+08, errA = 2085.81
i=439, err2=1.07152e+09, errA = 2080.3
i=440, err2=3.3768e+08, errA = 2072.54
i=441, err2=4.17643e+08, errA = 2070.99
i=442, err2=8.73702e+08, errA = 2067.27
i=443, err2=3.80701e+09, errA = 2025.64
i=444, err2=8.89019e+08, errA = 2015.56
i=445, err2=7.8682e+07, errA = 2013.92
i=446, err2=3.03021e+08, errA = 2012.51
i=447, err2=1.59418e+09, errA = 2006.13
i=448, err2=9.74885e+08, errA = 1999.04
i=449, err2=4.34797e+09, errA = 1980.45
i=450, err2=2.29155e+09, errA = 1966.55
i=451, err2=9.31734e+08, errA = 1957.73
i=452, err2=2.40531e+09, errA = 1939.7
i=453, err2=1.20939e+09, errA = 1927.68
i=454, err2=2.60651e+09, errA = 1914.99
i=455, err2=9.91172e+08, errA = 1900.9
i=456, err2=3.47278e+08, errA = 1898.68
i=457, err2=2.12241e+08, errA = 1894.9
i=458, err2=1.73939e+08, errA = 1893.74
i=459, err2=7.00478e+08, errA = 1891.9
i=460, err2=3.41707e+08, errA = 1877.65
i=461, err2=2.1004e+08, errA = 1874.32
i=462, err2=4.11023e+08, errA = 1869.76
i=463, err2=6.79518e+08, errA = 1867.88
i=464, err2=1.68717e+09, errA = 1857.72
i=465, err2=2.09503e+09, errA = 1844.58
i=466, err2=1.11854e+09, errA = 1838.93
i=467, err2=6.25952e+07, errA = 1833.05
i=468, err2=1.37953e+08, errA = 1831.82
i=469, err2=5.75136e+08, errA = 1829.64
i=470, err2=9.42679e+08, errA = 1827.15
i=471, err2=2.52967e+09, errA = 1803.73
i=472, err2=2.75817e+08, errA = 1797.33
i=473, err2=1.92602e+08, errA = 1796.01
i=474, err2=1.89594e+08, errA = 1795.15
i=475, err2=3.76427e+09, errA = 1782.32
i=476, err2=8.58497e+08, errA = 1760.19
i=477, err2=1.91978e+09, errA = 1750.83
i=478, err2=3.05073e+08, errA = 1746.65
i=479, err2=1.2067e+09, errA = 1741.56
i=480, err2=7.92645e+08, errA = 1736.53
i=481, err2=1.06138e+09, errA = 1728.89
i=482, err2=2.15796e+08, errA = 1725.09
i=483, err2=1.16312e+09, errA = 1722.84
i=484, err2=1.70873e+08, errA = 1710.78
i=485, err2=6.15632e+07, errA = 1709.38
i=486, err2=1.37398e+08, errA = 1709.02
i=487, err2=2.66685e+08, errA = 1705.21
i=488, err2=2.32031e+08, errA = 1703.26
i=489, err2=9.68161e+07, errA = 1701.66
i=490, err2=1.17984e+09, errA = 1698.7
i=491, err2=1.01129e+09, errA = 1693.06
i=492, err2=1.27622e+09, errA = 1688.2
i=493, err2=6.38788e+09, errA = 1654.42
i=494, err2=2.16403e+09, errA = 1630.72
i=495, err2=5.84282e+08, errA = 1624.68
i=496, err2=5.04869e+08, errA = 1620.88
i=497, err2=9.85983e+08, errA = 1616.28
i=498, err2=2.09926e+08, errA = 1612.31
i=499, err2=2.34615e+08, errA = 1610.52
i=500, err2=1.64659e+08, errA = 1609.86
i=501, err2=1.56615e+08, errA = 1608.77
i=502, err2=5.74285e+08, errA = 1604.53
i=503, err2=1.38261e+09, errA = 1596.47
i=504, err2=1.36111e+08, errA = 1585.53
i=505, err2=2.92898e+08, errA = 1584.36
i=506, err2=2.18378e+08, errA = 1583.39
i=507, err2=3.26261e+08, errA = 1580.68
i=508, err2=4.38221e+08, errA = 1575.98
i=509, err2=1.03975e+08, errA = 1575.07
i=510, err2=1.73304e+08, errA = 1574.14
i=511, err2=6.9244e+08, errA = 1572
i=512, err2=3.61721e+08, errA = 1568.33
i=513, err2=4.43526e+08, errA = 1565.2
i=514, err2=2.00308e+09, errA = 1557.41
i=515, err2=1.66819e+08, errA = 1548.01
i=516, err2=2.6369e+08, errA = 1546.35
i=517, err2=3.75359e+08, errA = 1542.83
i=518, err2=1.30498e+09, errA = 1539.9
i=519, err2=1.96836e+09, errA = 1527.78
i=520, err2=9.73749e+08, errA = 1521.72
i=521, err2=2.10927e+09, errA = 1512.71
i=522, err2=1.1759e+08, errA = 1504.29
i=523, err2=4.18438e+08, errA = 1502.46
i=524, err2=1.76358e+08, errA = 1500.88
i=525, err2=2.85014e+08, errA = 1498.94
i=526, err2=9.25729e+07, errA = 1498.24
i=527, err2=6.64476e+07, errA = 1497.83
i=528, err2=2.28139e+08, errA = 1497.28
i=529, err2=7.33591e+07, errA = 1495.64
i=530, err2=9.59504e+07, errA = 1495.23
i=531, err2=5.74332e+08, errA = 1491.8
i=532, err2=1.38993e+08, errA = 1485.24
i=533, err2=2.96101e+09, errA = 1477.41
i=534, err2=7.39413e+08, errA = 1468.02
