anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 236      errA=1.0908257287992225e-5      err2_a=9.682800054805868e-8      err2_b=1.5584242184955032e-5
iter = 237      errA=1.0827872444490489e-5      err2_a=9.541656282563942e-8      err2_b=1.5592140879582498e-5
iter = 238      errA=8.981513925291644e-6      err2_a=8.06061918710631e-8      err2_b=1.2821921009435534e-5
iter = 239      errA=8.79242929065874e-6      err2_a=7.865866730783656e-8      err2_b=1.2609596732911737e-5
iter = 240      errA=7.977652976544599e-6      err2_a=7.09867256241053e-8      err2_b=1.1714536669624856e-5
iter = 241      errA=7.788378590362533e-6      err2_a=6.906042368544688e-8      err2_b=1.1450738870924671e-5
iter = 242      errA=6.285405474448445e-6      err2_a=5.587062364331285e-8      err2_b=9.219427543879334e-6
iter = 243      errA=6.195523451696703e-6      err2_a=5.475607827580744e-8      err2_b=9.1322869975065e-6
iter = 244      errA=5.835065861883241e-6      err2_a=5.2809824682326244e-8      err2_b=8.485398004584662e-6
iter = 245      errA=5.6771464569938595e-6      err2_a=5.051552369752604e-8      err2_b=8.410960734335646e-6
iter = 246      errA=4.732328442624371e-6      err2_a=4.3209964536715045e-8      err2_b=6.739363204715093e-6
iter = 247      errA=4.708329323879784e-6      err2_a=4.296524922947036e-8      err2_b=6.728562885156751e-6
iter = 248      errA=4.614436012197954e-6      err2_a=4.19459982169329e-8      err2_b=6.644507783041568e-6
iter = 249      errA=4.208109588395419e-6      err2_a=3.8525091010091135e-8      err2_b=6.106038890072898e-6
iter = 250      errA=3.639315456696807e-6      err2_a=3.2920711225049214e-8      err2_b=5.396496263228079e-6
iter = 251      errA=3.562217982121132e-6      err2_a=3.2458724095661067e-8      err2_b=5.2597096205067235e-6
iter = 252      errA=3.5562471843811877e-6      err2_a=3.2485991215703145e-8      err2_b=5.236089260084587e-6
iter = 253      errA=3.2972743832137578e-6      err2_a=2.9532274319763068e-8      err2_b=4.935489003542393e-6
iter = 254      errA=3.0906755120760424e-6      err2_a=2.7964034093394904e-8      err2_b=4.616525346687547e-6
iter = 255      errA=2.394143633939489e-6      err2_a=2.1297239551603974e-8      err2_b=3.5001894108276624e-6
iter = 256      errA=2.0033560575162423e-6      err2_a=1.7707612477194157e-8      err2_b=2.9615471429291253e-6
iter = 257      errA=1.9940144205401035e-6      err2_a=1.7708082193080907e-8      err2_b=2.9425422351668314e-6
iter = 258      errA=1.7656411689772354e-6      err2_a=1.58873706820693e-8      err2_b=2.5785621918289415e-6
iter = 259      errA=1.6417487192145936e-6      err2_a=1.4680924975229412e-8      err2_b=2.4431467218263733e-6
iter = 260      errA=1.5832342873662527e-6      err2_a=1.4130079753536926e-8      err2_b=2.379432642584582e-6
iter = 261      errA=1.2658160939032815e-6      err2_a=1.1365549057606333e-8      err2_b=1.911899288457743e-6
iter = 262      errA=1.2651905052494406e-6      err2_a=1.1359577707225973e-8      err2_b=1.9134542169096786e-6
iter = 263      errA=1.2325266712433142e-6      err2_a=1.1087836239200654e-8      err2_b=1.8577215894612282e-6
iter = 264      errA=1.024766219020342e-6      err2_a=9.050408023095812e-9      err2_b=1.570541582918576e-6
iter = 265      errA=1.0006289587179083e-6      err2_a=8.928547731152464e-9      err2_b=1.5199349822475764e-6
iter = 266      errA=9.678784688753572e-7      err2_a=8.627844726965677e-9      err2_b=1.4679066613748177e-6
iter = 267      errA=9.460976656273443e-7      err2_a=8.44594813580233e-9      err2_b=1.418757811825373e-6
iter = 268      errA=8.882562165282725e-7      err2_a=7.97896863634534e-9      err2_b=1.3376858409524096e-6
iter = 269      errA=8.830877833768243e-7      err2_a=7.945728099241414e-9      err2_b=1.3270659684138556e-6
iter = 270      errA=8.810056640762607e-7      err2_a=7.90867180762382e-9      err2_b=1.324701626601294e-6
iter = 271      errA=8.505248260157619e-7      err2_a=7.74027422752638e-9      err2_b=1.2596923769926731e-6
iter = 272      errA=7.105516213083657e-7      err2_a=6.522196315040462e-9      err2_b=1.0406624809296558e-6
iter = 273      errA=7.085194907805349e-7      err2_a=6.5137912145946375e-9      err2_b=1.036813018826632e-6
iter = 274      errA=5.268771956726261e-7      err2_a=4.887223906005211e-9      err2_b=7.547674819076958e-7
iter = 275      errA=5.261292134753121e-7      err2_a=4.877382042715257e-9      err2_b=7.541525869950154e-7
iter = 276      errA=5.155516344658574e-7      err2_a=4.769765650458885e-9      err2_b=7.448877559713993e-7
iter = 277      errA=5.143957324016543e-7      err2_a=4.7656675990967115e-9      err2_b=7.40696617042068e-7
iter = 278      errA=3.986694968706963e-7      err2_a=3.6046168875105978e-9      err2_b=5.908718186402823e-7
iter = 279      errA=3.8016393548888716e-7      err2_a=3.4929627894937784e-9      err2_b=5.538746224785952e-7
iter = 280      errA=3.6875645803243463e-7      err2_a=3.375476147320986e-9      err2_b=5.382103791389685e-7
iter = 281      errA=2.803936893716412e-7      err2_a=2.5264071837749587e-9      err2_b=4.0359679684008755e-7
iter = 282      errA=2.7799840296084585e-7      err2_a=2.509864732341455e-9      err2_b=3.993584584812843e-7
iter = 283      errA=2.6726707658086975e-7      err2_a=2.4191485907633678e-9      err2_b=3.821698306411044e-7
